HOSP_ID,ADM_DISC,RATE,INTERVAL_LOWER_LIMIT,INTERVAL_HIGHER_LIMIT,START_QUARTER,START_DATE,END_QUARTER,END_DATE
390226,2071,12.28,7.29,17.26,3Q2013,07/01/2013,2Q2015,06/30/2015
390228,804,13.64,5.5,21.78,3Q2013,07/01/2013,2Q2015,06/30/2015
390231,2027,15.68,10.6,20.77,3Q2013,07/01/2013,2Q2015,06/30/2015
390233,453,11.28,1.35,21.21,3Q2013,07/01/2013,2Q2015,06/30/2015
390236,12,12.93,0.08,25.79,3Q2013,07/01/2013,2Q2015,06/30/2015
390237,916,11.69,5.01,18.37,3Q2013,07/01/2013,2Q2015,06/30/2015
390256,1889,13.03,8.53,17.53,3Q2013,07/01/2013,2Q2015,06/30/2015
390258,1005,9.89,2.97,16.82,3Q2013,07/01/2013,2Q2015,06/30/2015
390263,472,9.39,1,17.78,3Q2013,07/01/2013,2Q2015,06/30/2015
390265,55,15.63,4,27.25,3Q2013,07/01/2013,2Q2015,06/30/2015
390266,45,13.01,0.12,25.91,3Q2013,07/01/2013,2Q2015,06/30/2015
390267,152,6.83,0,16.18,3Q2013,07/01/2013,2Q2015,06/30/2015
390268,1604,8.9,1.97,15.82,3Q2013,07/01/2013,2Q2015,06/30/2015
390270,1332,16.4,10.99,21.8,3Q2013,07/01/2013,2Q2015,06/30/2015
390272,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
390278,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
390290,4,16.47,3.42,29.53,3Q2013,07/01/2013,2Q2015,06/30/2015
390302,24,13.16,0.19,26.13,3Q2013,07/01/2013,2Q2015,06/30/2015
390304,16,12.42,0,25.02,3Q2013,07/01/2013,2Q2015,06/30/2015
390307,76,13.13,0.18,26.09,3Q2013,07/01/2013,2Q2015,06/30/2015
390312,120,21.14,11.04,31.24,3Q2013,07/01/2013,2Q2015,06/30/2015
390314,804,8.1,0,18.28,3Q2013,07/01/2013,2Q2015,06/30/2015
390316,430,9.86,0,21.09,3Q2013,07/01/2013,2Q2015,06/30/2015
390321,519,7.37,0,17.07,3Q2013,07/01/2013,2Q2015,06/30/2015
390322,836,8.92,0,19.6,3Q2013,07/01/2013,2Q2015,06/30/2015
390323,234,11.32,0,23.35,3Q2013,07/01/2013,2Q2015,06/30/2015
390324,423,10.61,0,22.25,3Q2013,07/01/2013,2Q2015,06/30/2015
390325,965,8.04,0,18.18,3Q2013,07/01/2013,2Q2015,06/30/2015
390326,111,11.34,0.5,22.19,3Q2013,07/01/2013,2Q2015,06/30/2015
390327,417,9.5,0,20.52,3Q2013,07/01/2013,2Q2015,06/30/2015
390328,231,8.21,0,18.45,3Q2013,07/01/2013,2Q2015,06/30/2015
390329,439,14.48,5.27,23.68,3Q2013,07/01/2013,2Q2015,06/30/2015
410001,209,16.49,6.04,26.93,3Q2013,07/01/2013,2Q2015,06/30/2015
410004,591,22.31,14.51,30.1,3Q2013,07/01/2013,2Q2015,06/30/2015
410005,334,23.3,13.84,32.75,3Q2013,07/01/2013,2Q2015,06/30/2015
410006,204,18.16,7.85,28.47,3Q2013,07/01/2013,2Q2015,06/30/2015
410007,1174,12.19,6.34,18.04,3Q2013,07/01/2013,2Q2015,06/30/2015
410008,1020,13.53,4.51,22.55,3Q2013,07/01/2013,2Q2015,06/30/2015
410009,585,8.57,1.08,16.06,3Q2013,07/01/2013,2Q2015,06/30/2015
410010,165,8.28,0,17.55,3Q2013,07/01/2013,2Q2015,06/30/2015
410011,135,16.26,5.9,26.62,3Q2013,07/01/2013,2Q2015,06/30/2015
410012,1471,10.29,3.74,16.84,3Q2013,07/01/2013,2Q2015,06/30/2015
410013,168,9.79,0,19.84,3Q2013,07/01/2013,2Q2015,06/30/2015
420002,336,14.8,4.86,24.75,3Q2013,07/01/2013,2Q2015,06/30/2015
420004,3123,16.94,13.84,20.04,3Q2013,07/01/2013,2Q2015,06/30/2015
420005,49,16.63,4.64,28.62,3Q2013,07/01/2013,2Q2015,06/30/2015
420007,550,12.37,5.01,19.72,3Q2013,07/01/2013,2Q2015,06/30/2015
420009,563,9.9,0,20.06,3Q2013,07/01/2013,2Q2015,06/30/2015
420010,332,11.18,3.21,19.16,3Q2013,07/01/2013,2Q2015,06/30/2015
420011,28,13.01,0.12,25.91,3Q2013,07/01/2013,2Q2015,06/30/2015
420015,172,26.74,15.79,37.68,3Q2013,07/01/2013,2Q2015,06/30/2015
420018,1163,23.29,17.41,29.17,3Q2013,07/01/2013,2Q2015,06/30/2015
420019,42,12.69,0,25.42,3Q2013,07/01/2013,2Q2015,06/30/2015
420020,296,16.32,6.55,26.09,3Q2013,07/01/2013,2Q2015,06/30/2015
420023,3258,12.44,8.67,16.22,3Q2013,07/01/2013,2Q2015,06/30/2015
420026,2295,8.35,2.23,14.47,3Q2013,07/01/2013,2Q2015,06/30/2015
420027,925,10.86,3.58,18.15,3Q2013,07/01/2013,2Q2015,06/30/2015
420030,47,14.5,3.42,25.58,3Q2013,07/01/2013,2Q2015,06/30/2015
420033,340,11.95,0.81,23.09,3Q2013,07/01/2013,2Q2015,06/30/2015
420036,110,19.22,8.67,29.76,3Q2013,07/01/2013,2Q2015,06/30/2015
420037,243,7.89,0,17.93,3Q2013,07/01/2013,2Q2015,06/30/2015
420038,231,18.02,8.36,27.69,3Q2013,07/01/2013,2Q2015,06/30/2015
420043,92,17.2,5.9,28.49,3Q2013,07/01/2013,2Q2015,06/30/2015
420048,215,13.74,4.3,23.18,3Q2013,07/01/2013,2Q2015,06/30/2015
420049,1118,6.53,0,13.5,3Q2013,07/01/2013,2Q2015,06/30/2015
420051,2713,13.99,10.2,17.78,3Q2013,07/01/2013,2Q2015,06/30/2015
420053,253,24.7,14.16,35.23,3Q2013,07/01/2013,2Q2015,06/30/2015
420055,68,9.3,0,20.21,3Q2013,07/01/2013,2Q2015,06/30/2015
420057,1,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
420065,563,14.13,6.27,22,3Q2013,07/01/2013,2Q2015,06/30/2015
420066,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
420067,985,6.53,0,14.06,3Q2013,07/01/2013,2Q2015,06/30/2015
